month,service,planned_cost,actual_cost
January,Compute,90000,95000
January,Storage,70000,72000
January,Database,60000,61000
January,Network,50000,48000
January,Backup,40000,39000
January,Monitoring,30000,29500
February,Compute,90000,92000
February,Storage,70000,71000
February,Database,60000,60000
February,Network,50000,47000
February,Backup,40000,38500
February,Monitoring,30000,27500
March,Compute,95000,105000
March,Storage,72000,78000
March,Database,62000,65000
March,Network,52000,55000
March,Backup,42000,43000
March,Monitoring,31000,31000
April,Compute,95000,110000
April,Storage,72000,82000
April,Database,62000,68000
April,Network,52000,58000
April,Backup,42000,44000
April,Monitoring,31000,32000
May,Compute,100000,120000
May,Storage,75000,88000
May,Database,63000,72000
May,Network,53000,62000
May,Backup,43000,45000
May,Monitoring,32000,33000
June,Compute,100000,128000
June,Storage,75000,92000
June,Database,63000,75000
June,Network,53000,65000
June,Backup,43000,46000
June,Monitoring,32000,34000
